data_code,year,month,day,hour,minute,second,group_number,group_spot_number,projected_umbra,projected_whole_spot,corrected_projected_umbra,corrected_projected_whole_spot,heliographic_latitude,heliographic_longitude,lcm,position_angle,center_distance
s,2001,01,02,12,33,18,9289,35,0,3,0,2,-5.94,198.78,1.55,209.47,0.0549
s,2001,01,02,12,33,18,9289,36,1,7,0,3,-7.86,198.48,1.26,195.09,0.0842
s,2001,01,02,12,33,18,9289,37,0,3,0,2,-6.39,198.44,1.23,201.05,0.0595
s,2001,01,02,12,33,18,9289,38,2,47,1,23,-7.06,198.43,1.19,197.10,0.0705
s,2001,01,02,12,33,18,9289,39,0,2,0,1,-9.04,198.25,1.01,189.76,0.1035
s,2001,01,02,12,33,18,9289,40,0,5,0,2,-6.01,198.15,0.91,198.04,0.0514
s,2001,01,02,12,33,18,9289,41,4,-38,2,-38,-6.81,198.02,0.79,192.26,0.0644
s,2001,01,02,12,33,18,9289,42,0,1,0,1,-9.28,197.76,0.54,185.04,0.1064
s,2001,01,02,12,33,18,9289,43,0,2,0,1,-8.75,197.63,0.41,184.23,0.0971
s,2001,01,02,12,33,18,9289,44,0,3,0,1,-7.98,197.60,0.38,184.55,0.0836
s,2001,01,02,12,33,18,9289,45,1,98,1,49,-7.04,197.65,0.41,186.10,0.0674
s,2001,01,02,12,33,18,9289,46,11,-45,6,-45,-6.67,197.21,-0.03,179.49,0.0605
s,2001,01,02,12,33,18,9289,47,5,-45,2,-45,-7.16,196.77,-0.47,173.27,0.0695
s,2001,01,02,12,33,18,9289,48,1,15,1,8,-7.19,196.32,-0.92,167.09,0.0715
s,2001,01,02,12,33,18,9289,49,1,-48,0,-48,-7.21,196.07,-1.14,164.13,0.0728
s,2001,01,02,12,33,18,9289,50,0,2,0,1,-7.49,195.78,-1.44,161.47,0.0789
s,2001,01,02,12,33,18,9289,51,0,1,0,1,-7.47,194.93,-2.28,151.98,0.0845
s,2001,01,02,12,33,18,9289,52,0,1,0,1,-7.24,194.88,-2.36,149.77,0.0816
s,2001,01,02,12,33,18,9289,53,0,2,0,1,-8.72,194.46,-2.77,153.51,0.1077
s,2001,01,02,12,33,18,9289,54,0,1,0,0,-7.74,193.96,-3.26,144.46,0.0974
s,2001,01,02,12,33,18,9289,55,0,3,0,1,-7.51,193.72,-3.51,141.03,0.0969
s,2001,01,02,12,33,18,9289,56,0,4,0,2,-9.17,193.29,-3.92,146.93,0.1244
s,2001,01,02,12,33,18,9290,1,7,42,6,33,28.00,238.12,40.89,311.22,0.7707
s,2001,01,02,12,33,18,9290,2,1,-1,1,-1,27.71,237.64,40.42,311.17,0.7650
s,2001,01,02,12,33,18,9290,3,0,1,0,1,31.27,233.08,35.86,318.05,0.7515
s,2001,01,02,12,33,18,9291,1,48,216,25,113,-12.35,214.70,17.46,241.18,0.3361
s,2001,01,02,12,33,18,9291,2,0,1,0,1,-13.49,213.40,16.17,236.31,0.3269
s,2001,01,02,12,33,18,9291,3,0,2,0,1,-13.35,213.22,15.99,236.39,0.3232
s,2001,01,02,12,33,18,9291,4,0,4,0,2,-12.57,213.11,15.87,238.35,0.3150
s,2001,01,02,12,33,18,9291,5,0,21,0,11,-11.99,212.77,15.54,239.49,0.3056
s,2001,01,02,12,33,18,9291,6,1,-5,0,-5,-11.97,212.53,15.29,239.16,0.3019
